,obs_gdp,obs_c,obs_i,obs_g,obs_tr,obs_w,obs_n,obs_ffr,obs_pi,obs_tfp,obs_oil,obs_gas,obs_inflexp,obs_tr10,obs_cy,ec_chi,ec_tr,ec_gn
1959-01-01,6.170971878780307,,13.15481296316321,-5.076021958395671,4.4358046742207335,2.9941311865425035,,2.57,,0.003701120085053618,-0.7028830908002285,7.160484131696165,,,,0.0,0.0,0.0
1959-04-01,7.468895001797193,5.648138040797335,26.752628008649282,2.472444140511243,2.1931527253681082,2.748628769588368,,3.0833333333333335,2.1341612031850588,0.007139557525574181,-0.7111697423062132,3.1728666787723014,,,,0.0,0.0,0.0
1959-07-01,-1.1724670367328827,3.589973026366522,-29.70770793113573,0.22588874346283205,-9.153549660748084,0.7539210978945388,,3.5766666666666667,2.6666481442566337,-0.0035210625734281922,-0.7150316355039371,-0.32016009713231597,,,,0.0,0.0,0.0
1959-10-01,-0.3036688445874347,-0.35950047138371133,10.711356947522432,-5.981454996713609,10.910204849085048,2.2576253337788454,,3.99,2.2861075733146663,0.0005755954466689851,-0.7189437484675624,8.829856189828256,,,,0.0,0.0,0.0
1960-01-01,7.460039166672772,1.2813172837667253,40.51747258674325,-8.659061375814758,-11.700806366667749,6.854584775057981,,3.9333333333333336,1.2644366931318984,0.02618753772747281,-0.7229054357403483,-4.687630584260383,,,,0.0,0.0,0.0
1960-04-01,-3.614229499168431,4.6295387146862765,-43.37006834851138,2.4011555622834635,19.13814966740741,1.6248673809056147,,3.6966666666666668,1.5120668193702613,-0.02307550854265899,-0.7254301174503698,0.0,,,,0.0,0.0,0.0
1960-07-01,0.5150516223750401,-2.8957476252102765,-6.131275405925862,10.604452369333472,-9.836163726382985,0.9525999428452891,,2.936666666666667,1.5648391836506903,-0.002446971918060893,-0.7288509101494397,8.42961850562709,,,,0.0,0.0,0.0
1960-10-01,-6.615710751113824,-0.3501732660957657,-54.021913549733824,3.564002933475763,20.84429395459857,0.47421994921799104,,2.296666666666667,1.3090844974168903,-0.010047298512502068,-0.7318104439315635,1.007459604550931,,,,0.0,0.0,0.0
1961-01-01,1.2312706236144777,-1.7244079237492826,10.196055544060556,3.7057969915849753,19.241148815306452,2.657207493674685,,2.0033333333333334,0.6820262818447276,-0.00010386965253562225,-0.7339923096498583,-0.27098960629992064,,,,0.0,0.0,0.0
1961-04-01,5.27723858867617,3.4806147855555025,25.84828631466607,0.8947290612233871,24.05360771728997,4.6619073676931855,,1.7333333333333334,1.3108781333286856,0.02415399434535427,-0.7362973433250753,-10.833750240485251,,,,0.0,0.0,0.0
1961-07-01,6.152375676140309,0.9229550509473938,28.65846951684148,5.940070009648224,-11.737224390839351,1.9704161908082884,,1.6833333333333333,1.7356833581507303,0.009898340486504287,-0.738852275731752,9.00947848401188,,,,0.0,0.0,0.0
1961-10-01,6.308849422923402,5.6505818299825705,6.051751278712203,8.08240547870227,0.12068938701030874,1.6648892474528054,,2.4,0.9555390775242145,0.0037137936985594433,-0.7419731979808711,-2.3801465145494305,,,,0.0,0.0,0.0
1962-01-01,5.600244342593186,2.453845660698306,18.018855731525463,7.088979161406428,5.706397044317413,4.269117532145161,,2.4566666666666666,1.4782286312740922,0.005149020574662712,-0.7471110101771506,-1.4113510672681073,,4.0162903225806454,0.32741935483870943,0.0,0.0,0.0
1962-04-01,2.1165688813823635,4.124205526391478,-7.757476021745191,1.6909606124841048,3.5408307946259043,2.0226396209353847,,2.606666666666667,1.5381172948123023,-0.0036857653508025195,-0.7487546036946316,2.4666059662655115,,3.8757142857142854,0.3641269841269845,0.0,0.0,0.0
1962-07-01,3.40555708224457,1.9807834387073342,3.645645017343213,8.019224473557074,-10.199953808181483,1.995155861919029,,2.8466666666666662,1.3125323859657811,0.013105685082347693,-0.7508368204295258,-1.2509783456778223,,3.9895238095238095,0.3190476190476197,0.0,0.0,0.0
1962-10-01,-0.19986121522705957,4.454352664202332,-15.554221284199343,1.8988257319939805,9.683664826987481,2.7444711463604055,,2.9233333333333333,0.7480893382336262,0.010266046919848473,-0.7529147105452879,8.829012842657669,,3.902459016393443,0.32404371584699465,0.0,0.0,0.0
1963-01-01,2.850163116693949,0.6990886088480863,16.167130676173258,-2.787889732984894,9.423359084343907,2.2456525611417533,,2.966666666666667,1.321993518747,-0.00163782268252487,-0.7572454877519313,-3.732411285627535,,3.8921311475409834,0.23617486338797766,0.0,0.0,0.0
1963-04-01,2.952615304698014,2.2157749259477555,5.579307927425248,-1.0788711043630883,2.2493039655619995,1.300388712983347,,2.9633333333333334,1.5112808287716106,0.002922282201068969,-0.7589975687958485,-4.822615539174535,,3.963650793650794,0.19476190476190425,0.0,0.0,0.0
